	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR	negLog10_FDR
JUN	-0.06482002638446883	-0.012622596167352482	-2.5581628685308595	0.011263019399216657	0.021662310316898293	1.6642952271024951
CDCA7L	-0.6846839198604353	-0.19444852814523478	-2.5600763638473247	0.011024510748628463	0.021334469874660634	1.6709181441508139
ZNF76	-0.8888047636647254	-0.596927698414234	-2.567858945631796	0.010924526354070593	0.021206433510842917	1.6735323648073712
ZBTB2	-0.4578276122021431	-0.29669285950634194	-2.5855262993893176	0.010270630771326793	0.020061325525301866	1.6976403749394517
NFKBIA	-0.10710886156646572	-0.017761095932486436	-2.589326892999109	0.01015240696567415	0.01989237239836779	1.701313419083773
NFKBIB	-0.21358151028736336	-0.0799907091628596	-2.626032154524622	0.009116896579024371	0.017975767783170695	1.7453125509104106
CITED2	-0.3075108766260022	0.12171860140292964	-2.6509777892195756	0.008521720658200905	0.017016302078636837	1.769134813307455
MYOD1	-0.2667781361248095	0.06322460454181544	-2.695600975505861	0.0076893235979951825	0.015452582999817242	1.81099891502196
NOTCH3	-0.25192885172831614	0.1202207567338328	-2.6970307898796406	0.007425811906064655	0.014971009855635172	1.8247489037359246
EAPP	-0.41468016502124394	-0.16508317085336482	-2.7137351125680023	0.007069097381744833	0.014297819543077451	1.8447301885917815
TRERF1	-0.1952721333540064	-0.04288067341486114	-2.7211312937790506	0.00688239649672202	0.01401059286832697	1.8535434868416267
NPM1	0.02968381031266277	0.17859193824933253	-2.748624680225669	0.006441372460567726	0.01324177223860972	1.8780538863509155
SOX11	-0.19226587862410902	-0.03017581849220399	-2.792402495094407	0.005608884145275295	0.011644934963866259	1.9338629326263277
SNAI2	-0.22543894217257884	-0.08310874585097315	-2.796535067241693	0.005556762126326671	0.01157504934620207	1.9364771488423997
RELB	-0.2624453821229763	0.023516430480658046	-2.802959177063737	0.005429833713113397	0.011348352460407	1.9450671842233167
HOXA7	-0.2666106790490261	-0.07151761457796654	-2.8223353993463323	0.005172282510840702	0.010882621256030603	1.9632664851600785
KLF5	-0.4334934146177916	-0.24707822433451238	-2.836156876045401	0.0049420818110682075	0.010433283823366217	1.9815789780636166
TAF4	-0.05883321349214826	0.02570120478285386	-2.8493924531132704	0.004684082058085664	0.009922025170336862	2.0033996755739167
PAX4	-0.10978878717403329	0.1490997937123337	-2.8702506449609637	0.004402859352550011	0.0093579417425385	2.028819662816933
RFX3	-0.25051058107385205	-0.08100911420684608	-2.9168939772558575	0.00393258907785402	0.008502528799360243	2.070451888371182
HES6	-0.13106559292843872	0.16758045180143302	-2.962403591562791	0.0033384102654258063	0.007344502583936774	2.134037612040722
HLF	-0.017977786763287432	0.07668137017625737	-2.9656523315168752	0.003302191319863754	0.007316162394185773	2.135716663212565
NFE2L2	-0.0838172836177734	-0.018869674449736796	-2.9666849807520737	0.003335309864987074	0.007344502583936774	2.134037612040722
SALL4A	-0.09645705195105274	0.3325888639726946	-2.9927596729191492	0.0030226505105050098	0.006817272913980724	2.166389319663948
MAX	-1.0068284673972407	-0.32625364336640195	-3.0332843911674177	0.0027275999154676585	0.006174025801437624	2.2094315599205623
ESRRA	-0.019750780741328335	0.14515624597556448	-3.06398116455435	0.002407996292925048	0.00551026888928469	2.258827207993351
HDAC7	-0.018790259793884823	0.10382452139073395	-3.083788565767835	0.002260805131247545	0.005250091915897076	2.2798330931240507
E2F3	-0.022833979748040977	0.37705521857462426	-3.09501645519447	0.0022691913109327733	0.005250121593929331	2.2798306381252775
ILF3	-0.44244927460257577	-0.18256958710098836	-3.1178521387305587	0.00206070165237483	0.004803196788249139	2.3184696198361703
ZNF300	-0.5577223579457785	-0.22013050092883743	-3.140410087632807	0.0019475143700339564	0.004573376441989852	2.3397630496688833
APEX1	-0.127455483431068	0.016535573217706188	-3.142211427683071	0.0019128653383647296	0.004508896869002577	2.345929698101129
POU2AF1	-0.5875067828514636	-0.2674624525655934	-3.1899941015048907	0.0016072043220152525	0.0038758350380906277	2.4116347155148596
GATA1	-0.13899295674213902	-0.06969704469341442	-3.2007237510494733	0.0015303194959982098	0.0037046730656018433	2.4312501121299825
MLLT10	-0.8417130481684585	-0.4987651607710211	-3.236455581378952	0.0013991141488384866	0.003426736606725512	2.46511927597335
MEN1	-0.06930841093883297	0.1026315995862544	-3.271342422931106	0.0012568171434785766	0.003090291564553206	2.510000543583919
FOXP1	-0.5300505281484704	-0.1539331859922669	-3.278548855867343	0.0011921099779055296	0.0029427281738061695	2.5312498527723695
RREB1	-0.5300505281484704	-0.1539331859922669	-3.278548855867343	0.0011921099779055296	0.0029427281738061695	2.5312498527723695
SIX1	-0.28455222183568785	0.04463032168920778	-3.2940841279933277	0.001128111001146657	0.002818030269796629	2.5500543462390683
MYB	-0.17517109928218766	-0.07472002180425165	-3.3183659150488087	0.0010295865360679117	0.002603027250462019	2.5845212853431896
ARID3A	-0.19685212533582158	-0.05919208135434009	-3.391719190566197	0.0008050193201936013	0.002077148616302008	2.6825324293527917
SP2	-0.006951499908711124	0.277502827064975	-3.3939039173684633	0.0007971340696188723	0.0020653019076488964	2.685016453817698
SP3	-0.07665437940679819	-0.017654750079668765	-3.4053679517627202	0.0007824981866419812	0.002044276512602176	2.6894603610934498
FOXA1	-0.19450984193131815	-0.06443941576822419	-3.429904781375952	0.0007135492223059907	0.0018953636138348542	2.722307460981663
YEATS4	-0.45043567976114685	-0.009330214631737327	-3.491439852236001	0.0005792786653276701	0.0015860599264648436	2.7996804076607056
RUVBL1	-0.45043567976114685	-0.009330214631737327	-3.491439852236001	0.0005792786653276701	0.0015860599264648436	2.7996804076607056
PAX2	-0.45043567976114685	-0.009330214631737327	-3.491439852236001	0.0005792786653276701	0.0015860599264648436	2.7996804076607056
AR	-0.05769141168747565	0.004486123638981761	-3.5513481099112147	0.0004643760888944902	0.0013115486834993034	2.8822155841565875
