	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR	negLog10_FDR
ASCL1	1.072761834084978	0.2040336538825654	5.547337094507738	1.908119067877139e-07	1.4075184183046663e-06	5.851545913410367
BTAF1	0.6350360414772186	0.12731307935364086	5.4823875831093485	2.5920825268766493e-07	1.8261075779232124e-06	5.738473641302146
EGR3	0.37379618002413684	0.034194510873804373	5.434125352221683	2.506298303837913e-07	1.806263260352151e-06	5.7432189515939776
MSX1	0.7988941317014562	-0.16469314124518641	5.3034451598254755	4.916197576052167e-07	3.24469040019443e-06	5.488826736121468
SF1	0.35351380148048206	0.009089319373751742	5.284980383057641	5.516218256210913e-07	3.5656379862311775e-06	5.447862752176673
PKNOX1	0.5458546575809613	0.1680609208301988	5.124366092130922	1.213692190625419e-06	7.609850035221377e-06	5.1186239016417225
FOXP3	0.25107703114238367	0.007027244522624786	5.064115232842952	1.7397176006676792e-06	1.0488489765563797e-05	4.979287041234488
NELFCD	0.5893491893528977	0.07222292885733578	5.022811066630607	1.630604486616769e-06	9.926106923385574e-06	5.003221050921263
RUNX3	0.1913068539756253	0.026151888019355078	4.927123664763255	3.035844648027635e-06	1.8128329469650733e-05	4.741642214411889
DNMT3L	0.25096531434332925	-0.19572912527589742	4.844820084995362	3.296919870395003e-06	1.931933419380997e-05	4.714007844842726
CDX2	0.34809091825426197	0.05707985689945998	4.8294528562229155	4.5390599451947415e-06	2.4964829698571078e-05	4.602671392205431
SPEN	0.46837213090117064	0.02749002902097942	4.824769011257227	4.2503899773844364e-06	2.3794593891250373e-05	4.623521703022992
PRDM1	0.6411245615321964	-0.007141510861685785	4.8239398558635775	5.111027566478128e-06	2.761523905865163e-05	4.558851192838498
NCOA3	0.3243121385066308	-0.03478967286086974	4.780529413060426	4.007785343699124e-06	2.284437645908501e-05	4.641220691583954
ATOH1	1.2807592371871637	0.18214599797384876	4.744871484052896	5.718578715099603e-06	3.0130662641743286e-05	4.520991317099027
EWSR1	0.7119990389989869	0.16809914679593957	4.730125816858794	6.0300759539215485e-06	3.150714685924009e-05	4.5015909227349225
NFIC	0.1439891223593536	-0.030252093641717572	4.727646269507449	5.153082886542649e-06	2.761523905865163e-05	4.558851192838498
ING4	0.4174493156652275	0.14465709267217886	4.711925654407664	6.363791078891738e-06	3.297600831789355e-05	4.481801916018076
HIC1	0.42102443776648657	0.07079974492416305	4.6946664361579025	8.28969296625063e-06	4.1581099918713156e-05	4.3811040267335155
ZNF350	0.5952294308531065	0.16064146513166547	4.677944982980262	7.901329093549811e-06	4.0277506842729523e-05	4.394937419894877
MITF	0.4374354602199948	0.08771131139632835	4.574145209780621	1.0807940898466763e-05	5.294202299483328e-05	4.276199467668087
