	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR_A375	negLog10_FDR	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR_HT29	negLog10_FDR
HDAC11	0.134	0.083	1.046	2.968e-01	3.736e-01	0.428	-0.051	0.061	-2.071	4.011e-02	6.720e-02	1.173
HDAC2	0.082	0.044	1.178	2.397e-01	3.113e-01	0.507	-0.009	0.035	-1.232	2.198e-01	2.932e-01	0.533
HDAC3	-0.238	-0.023	-4.105	5.391e-05	1.827e-04	3.738	0.096	0.149	-1.043	2.991e-01	3.781e-01	0.422
HDAC4	-0.197	-0.012	-5.048	7.808e-07	3.980e-06	5.400	-0.238	0.032	-5.456	2.546e-07	1.814e-06	5.741
HDAC5	-0.008	0.055	-1.579	1.156e-01	1.651e-01	0.782	0.001	-0.014	0.353	7.248e-01	7.860e-01	0.105
HDAC7	-0.019	0.104	-3.084	2.261e-03	5.250e-03	2.280	-0.012	0.016	-0.705	4.821e-01	5.618e-01	0.250
HDAC9	0.014	-0.045	2.104	3.629e-02	5.926e-02	1.227	0.070	-0.036	2.940	3.901e-03	9.166e-03	2.038
HDGF	0.016	-0.014	0.544	5.868e-01	6.489e-01	0.188	0.350	0.047	3.716	3.029e-04	9.891e-04	3.005
HES1	-0.363	-0.043	-6.844	5.093e-11	6.653e-10	9.177	-0.429	-0.068	-6.544	1.174e-09	1.673e-08	7.776
HES6	-0.131	0.168	-2.962	3.338e-03	7.345e-03	2.134	-0.102	0.120	-1.778	7.775e-02	1.213e-01	0.916
HEXIM1	1.430	0.429	4.008	9.172e-05	2.995e-04	3.524	1.119	0.008	5.849	3.282e-08	3.215e-07	6.493
HEY1	-0.282	0.063	-4.878	1.880e-06	8.931e-06	5.049	-0.137	0.147	-3.552	5.522e-04	1.626e-03	2.789
HEY2	-0.527	0.053	-5.794	2.032e-08	1.431e-07	6.844	0.053	0.188	-1.499	1.363e-01	1.960e-01	0.708
HEYL	-0.361	-0.185	-1.692	9.213e-02	1.340e-01	0.873	-0.383	-0.113	-2.525	1.256e-02	2.424e-02	1.615
HHEX	0.074	0.033	1.520	1.298e-01	1.825e-01	0.739	0.122	0.073	1.546	1.248e-01	1.816e-01	0.741
HIC1	0.135	-0.070	2.948	3.647e-03	7.967e-03	2.099	0.421	0.071	4.695	8.290e-06	4.158e-05	4.381
HIF1A	-0.008	0.014	-1.067	2.871e-01	3.636e-01	0.439	0.011	-0.020	1.306	1.942e-01	2.625e-01	0.581
HINFP	0.028	0.022	0.168	8.664e-01	8.949e-01	0.048	0.057	0.055	0.054	9.573e-01	9.666e-01	0.015
HIPK2	-0.154	0.267	-5.732	2.864e-08	1.952e-07	6.710	-0.486	0.038	-4.795	4.598e-06	2.507e-05	4.601
